uid,x0,y0,x1,y1
20,378.3874,452.9224,415.1748,479.3107
21,252.2815,372.5015,244.5404,395.3800
6,322.9707,209.5087,281.2829,349.7454
19,330.6116,226.8465,406.0559,255.1806
0,25.6131,260.3704,218.6742,305.5669
56,443.4881,210.7931,639.2544,220.2465
16,77.5911,107.2845,258.1352,181.3480
71,445.0835,452.6539,438.5315,479.4167
4,119.1673,382.1179,144.2504,425.6083
29,1.0569,450.9283,282.7559,460.8719
30,244.0570,394.2536,291.7070,436.5568
2,325.1395,448.4745,377.6202,453.5821
33,252.4067,373.2190,302.1842,411.1060
155,622.4892,432.4642,639.6270,439.5580
26,283.2501,376.3638,333.3350,413.2445
27,154.1393,383.4836,243.3789,394.3954
22,0.0000,414.8267,292.2914,436.1347
3,143.5886,425.2291,134.4682,455.0976
14,404.9753,252.6869,353.0930,449.1915
134,249.2071,186.3012,216.5500,291.0253
57,444.0518,209.9477,379.2497,452.6428
36,302.6585,412.3818,333.5777,414.9992
157,639.5999,359.2352,622.1105,432.1263
11,83.7791,122.9995,250.2442,186.2113
7,252.2312,372.9559,281.5620,375.9579
17,332.6949,226.7262,285.2221,376.6806
139,260.0206,180.8845,221.5836,304.2067
28,76.4287,106.7593,21.5961,259.0920
159,290.9213,436.4178,283.7367,460.3194
9,323.5373,209.9008,418.0362,246.6715
144,1.0329,366.5129,86.0007,386.4605
40,417.8322,246.2205,364.1104,453.3443
153,166.0150,324.7014,280.3711,347.5200
97,332.6743,414.9204,318.5545,479.2449
133,544.1766,434.0363,639.5717,477.6787
93,445.7392,450.9630,496.9312,453.4258
51,38.6235,253.7250,214.4070,294.8061
23,89.4126,134.5939,242.1482,190.5541
82,445.3968,453.5646,478.6137,473.9254
45,381.2935,437.9734,436.8550,473.9408
137,164.2906,331.2330,281.5519,352.9572
114,84.9720,121.4075,37.4107,250.9194
160,282.7813,349.9289,282.4403,375.5299
24,53.4511,247.0627,208.6662,284.3142
140,91.1246,132.9748,50.7032,247.3557
121,1.0582,301.5168,31.1829,307.0085
161,92.4933,379.9152,151.1232,387.0381
37,0.3525,291.9488,32.9855,299.2768
96,290.9400,436.4561,277.2585,480.0000
