uid,x0,y0,x1,y1
21,255.0618,372.8519,248.0787,395.5092
97,334.9731,414.9873,321.0602,479.5274
56,446.0213,210.3762,639.2609,219.6466
3,147.0182,424.9606,137.1125,455.7555
22,0.1831,416.1248,295.4567,434.7169
9,325.3882,209.9857,420.2238,246.4011
27,157.7071,383.6824,246.7529,394.5573
17,334.4952,227.8236,289.2665,376.1986
134,244.3403,190.3034,211.0410,286.3856
23,92.0284,134.1984,243.5049,191.6750
28,78.3933,109.7240,25.3088,259.8857
2,327.7753,448.8350,379.8850,453.1913
14,409.6399,252.0621,354.6275,450.2410
29,0.2852,450.6976,286.8085,461.3006
6,324.6886,209.1281,283.7310,350.5758
20,381.3788,453.2064,417.1524,479.0799
45,385.5600,438.2357,440.9283,474.2768
139,260.9596,182.3354,224.8550,303.1407
19,333.0792,226.8383,408.7610,255.2831
40,419.5392,247.3626,366.2692,452.5797
26,286.1212,376.5247,337.0986,413.2336
36,305.9374,412.4493,336.3855,415.1317
0,27.1777,260.7660,220.8908,305.4543
30,247.7894,396.3852,296.6275,437.4271
157,639.4318,375.0826,626.1830,431.8726
71,448.1181,452.1904,440.7996,479.6855
140,92.8995,135.2521,52.6776,249.5384
33,254.4049,373.1875,303.0073,411.1303
11,85.7876,123.2974,251.4855,185.7982
114,86.0086,125.3745,40.8053,253.2303
16,80.3086,108.4098,261.7151,181.5629
7,254.7299,373.2663,283.3051,375.7125
4,121.6713,382.3232,147.0229,425.4492
96,293.6384,437.2365,281.8979,479.5475
133,547.3456,434.0430,637.9231,475.9334
57,444.8038,209.6819,382.4358,453.1146
24,56.1617,247.2749,210.1842,284.3407
155,625.8721,431.6456,639.4346,436.9652
93,448.2921,451.0798,499.6085,453.3756
150,117.4808,311.8876,88.9923,388.0529
51,40.8500,254.2562,216.3550,294.2518
144,2.8236,366.2271,90.1245,387.0554
121,1.0568,301.4050,34.4048,307.4532
153,169.9425,324.9283,282.7217,347.4693
137,167.6427,331.0042,284.7438,353.3812
154,295.5519,435.0642,287.7146,460.1789
82,448.2153,453.1427,488.1200,478.4688
158,500.9611,426.7479,501.8715,478.7152
37,0.8888,293.3959,35.9322,300.3260
