uid,x0,y0,x1,y1
19,458.4250,217.1048,544.4201,236.5383
21,399.1812,374.3601,394.5508,396.5972
10,0.8341,437.3963,53.0000,438.4773
14,544.9254,236.3474,510.4633,448.9647
0,180.2350,285.9821,357.5536,309.6208
11,215.3821,152.7291,370.2170,188.7670
15,492.3873,411.5954,484.5275,479.7432
4,277.2589,391.6522,308.4884,431.5307
28,206.9553,141.2368,178.8648,284.3804
57,584.9607,181.4209,539.2983,452.2132
33,398.3727,374.4183,458.3533,410.2937
9,448.3766,200.6107,557.1809,225.8545
31,83.3423,347.0289,133.8300,351.6297
66,361.4246,193.6262,345.8576,291.9014
36,460.1219,410.7470,492.6051,412.1376
30,393.9999,396.5426,453.3820,437.7122
24,201.2582,270.8773,345.2559,290.2059
20,542.1021,450.9902,591.8912,480.0000
17,459.1722,217.5609,433.2611,377.3173
3,308.6875,430.9545,303.8723,459.8335
70,379.5265,183.5096,358.3398,307.2968
29,121.4550,457.7038,445.9315,462.5770
25,67.3513,389.2716,125.8669,392.3345
6,447.7127,201.0658,423.6870,348.3347
23,220.4859,162.7064,362.5712,194.6679
22,125.4165,424.3193,451.2191,436.3737
5,221.0499,162.0908,201.7027,270.4980
61,214.1965,157.2055,191.4684,273.3073
2,487.2467,447.9438,541.0544,450.8544
26,430.6267,375.3717,493.4087,410.1226
71,629.5191,449.8585,626.0630,478.8351
12,0.6491,412.7967,57.3515,414.3353
16,205.6451,142.2940,381.4719,181.0331
53,92.0457,310.8230,82.8821,346.0164
7,398.9778,373.9563,428.6579,375.1956
56,639.0723,176.7488,582.9907,182.1510
47,66.0772,386.8081,46.3352,479.4966
45,544.8299,434.8881,627.1975,476.9373
41,309.9836,339.4257,426.4060,351.9827
51,193.9366,276.8137,348.6908,299.7948
37,92.2779,310.0880,193.7743,321.1140
40,560.1433,224.5886,522.2355,448.4067
13,1.0903,169.0596,10.9858,172.4594
77,459.6437,411.0884,446.3006,479.1587
60,134.5690,351.4294,132.6771,379.3244
69,311.8130,333.5321,422.9432,345.7849
27,308.3343,389.7513,393.3560,396.3609
74,427.6137,349.9200,428.5208,374.8878
62,451.8036,436.8481,443.6520,480.0000
39,132.8504,378.0176,115.1789,479.5557
48,133.5436,378.5331,178.3841,381.7462
32,11.2011,172.4342,2.2190,218.8725
44,310.6427,431.5502,451.6774,436.2833
78,67.3635,388.9121,59.4363,425.2380
65,81.7088,347.7108,64.8562,384.0612
75,135.5310,363.8416,117.8874,470.6314
