uid,x0,y0,x1,y1
20,396.1844,455.1973,430.3485,479.1742
97,349.8002,416.4530,336.4650,479.4619
19,344.4092,228.1436,421.1300,255.6216
28,92.5243,114.5105,41.8554,264.0860
71,464.5529,454.1927,458.5521,479.2737
4,137.7683,385.4554,164.1837,428.3429
7,268.6183,375.6999,297.7409,377.8782
16,93.7443,111.9782,273.0970,185.6837
2,342.3917,450.2845,395.1395,455.2549
11,101.2350,128.8343,263.1183,188.6151
56,457.2008,210.0173,639.3109,216.2421
6,337.0566,212.1203,296.7163,351.9611
30,260.9373,397.5129,311.3947,439.3397
142,262.6485,189.8959,232.2571,294.9193
29,0.4032,452.4144,302.6711,464.6555
0,42.2498,265.1272,235.0056,308.0911
33,269.0048,375.5396,317.9610,414.6694
27,171.4135,386.1373,261.5555,396.9417
40,432.0441,247.9517,381.7733,453.7109
26,298.8449,377.8667,349.1199,414.1166
3,162.6216,427.6401,154.8849,458.7697
45,398.3434,440.0927,458.7484,477.3008
36,320.8763,414.2920,350.9633,416.4648
37,0.1138,293.8296,53.2875,304.0502
57,459.0536,210.0514,396.0276,455.3851
141,299.2267,353.6124,298.4089,377.6294
23,106.3857,140.9206,255.5476,193.5081
21,269.5401,375.2065,262.3380,398.4515
9,337.1613,210.8689,431.5837,247.8674
121,0.7267,301.7214,51.5215,311.2219
134,252.5736,194.1608,226.1590,288.4597
17,346.0344,230.0190,301.2829,379.2154
51,55.7699,258.5806,231.9745,297.4107
139,271.2395,184.1552,240.1248,306.4619
82,464.2346,455.4681,498.8354,476.5218
22,0.6288,418.3512,311.7962,438.2558
133,564.3790,435.8709,639.4449,468.7028
140,106.8564,140.4123,68.2947,253.3121
114,101.1511,124.3029,55.4858,261.7735
24,70.3335,251.8056,224.4458,287.0606
143,317.4648,416.3598,298.4157,479.5809
14,419.0573,255.4578,372.4676,451.1699
96,309.0223,438.6069,297.7249,479.7760
137,182.8849,327.9951,295.3086,349.1469
93,465.5303,453.0027,516.6430,455.9686
144,0.1952,366.8033,24.3181,369.5276
145,434.2812,307.7468,393.9680,454.4535
